Struct,Real,MyHLL,KMV,HLL
D1,3185,3183,190622,262299
D2,23134,23177,200457,262149
D3,5893,5896,191933,262291
D4,5760,5774,191874,262192
D5,9517,9534,193709,262190
D6,6319,6318,192137,262190
D7,8995,8986,193441,262150
D8,550501,551209,576583,414956
D9,17620,17566,197661,262150
