Struct,Real,MyHLL,KMV,HLL
D1,3185,3086,1197,3086
D2,23134,24130,25479,24130
D3,5893,5849,1281,5849
D4,5760,5733,1281,5733
D5,9517,9537,1281,9537
D6,6319,6522,1281,6522
D7,8995,8419,2009,8419
D8,550501,528687,467720,528687
D9,17620,17798,13002,17798
