Struct,Real,MyHLL,KMV,HLL
D1,3185,4245,4245,5293
D2,23134,29950,29950,2315
D3,5893,4642,4642,2315
D4,5760,5557,5557,2315
D5,9517,7827,7827,2315
D6,6319,6183,6183,2315
D7,8995,7627,7627,5570
D8,550501,499053,499053,310600
D9,17620,12504,12504,2315
