Struct,Real,MyHLL,KMV,HLL
D1,3185,3237,2397,3218
D2,23134,23514,2564,23514
D3,5893,5863,2564,5863
D4,5760,5847,2564,5847
D5,9517,9643,2564,9643
D6,6319,6494,2564,6494
D7,8995,8472,4022,8472
D8,550501,557593,118481,557593
D9,17620,16962,2564,16962
